"GeneType"	"GeneSymbol"	"ENSG"	"log2FoldChange"	"pvalue"	"padj"	"minus_log10_padj"
protein_coding	SAMD11	"ENSG00000187634.11"	0.149879929334492	0.811592587394581	0.920342288195997	0.0360506
protein_coding	NOC2L	"ENSG00000188976.10"	-0.129678969712837	0.571089534075626	0.779904772783443	0.107958
protein_coding	KLHL17	"ENSG00000187961.13"	-0.0159468878555985	0.945420487930927	0.976554895158284	0.0103033
protein_coding	PLEKHN1	"ENSG00000187583.10"	-0.533024714472813	0.113686703121801	0.323898116514105	0.489592
protein_coding	HES4	"ENSG00000188290.10"	1.1991846679185	0.0029574960254893	0.0311111049794943	1.50708
protein_coding	ISG15	"ENSG00000187608.9"	0.634624647544077	0.0155905209952077	0.0928455077724996	1.03224
protein_coding	AGRN	"ENSG00000188157.14"	-0.178151481419971	0.376428067414866	0.632799906719972	0.198734
protein_coding	C1orf159	"ENSG00000131591.17"	-0.0522379561437589	0.733261115051328	0.879040548572872	0.0559911
protein_coding	SDF4	"ENSG00000078808.16"	0.222028097099015	0.0471132515418785	0.189036373481357	0.723455
protein_coding	B3GALT6	"ENSG00000176022.5"	0.158266663696111	0.182021425650919	0.423059973347392	0.373598
protein_coding	C1QTNF12	"ENSG00000184163.3"	-0.25253918152935	0.604797551035476	0.80332404319564	0.0951092
protein_coding	UBE2J2	"ENSG00000160087.20"	0.27048508519518	0.0252792319331517	0.128551513290909	0.890923
protein_coding	SCNN1D	"ENSG00000162572.20"	0.86771548677731	0.0649499441852884	0.229853719854205	0.638548
protein_coding	ACAP3	"ENSG00000131584.18"	0.0223883784795657	0.874331401079964	0.946099300196915	0.0240633
protein_coding	PUSL1	"ENSG00000169972.11"	0.133789217951487	0.495255847962444	0.728179490010671	0.137762
protein_coding	INTS11	"ENSG00000127054.20"	0.0202551565305833	0.869720572054004	0.944076234127366	0.0249929
protein_coding	CPTP	"ENSG00000224051.6"	0.0580191379625382	0.679588905137234	0.849868631063323	0.0706482
protein_coding	DVL1	"ENSG00000107404.19"	0.231064234329587	0.348492404928065	0.607066590309551	0.216764
protein_coding	MXRA8	"ENSG00000162576.16"	-0.150651423981095	0.526684571853699	0.750407209716234	0.124703
protein_coding	AURKAIP1	"ENSG00000175756.13"	0.0341341212505879	0.862933127736903	0.941232343190859	0.0263032
protein_coding	CCNL2	"ENSG00000221978.11"	-0.144589855393243	0.32375291468506	0.58128896004523	0.235608
protein_coding	MRPL20	"ENSG00000242485.5"	-0.0795022328924763	0.692933737694874	0.856693438340233	0.0671746
protein_coding	VWA1	"ENSG00000179403.11"	0.596488570421384	0.126108800618389	0.344534050956326	0.462768
protein_coding	ATAD3B	"ENSG00000160072.19"	-0.0530946352495608	0.861267994264777	0.940439683792853	0.0266691
protein_coding	ATAD3A	"ENSG00000197785.13"	-0.253950061642284	0.32293807007919	0.580543086015553	0.236166
protein_coding	TMEM240	"ENSG00000205090.8"	0.16557592811351	0.721948259703716	0.873200160915526	0.0588862
