"GeneType"	"GeneSymbol"	"ENSG"	"log2FoldChange"	"pvalue"	"padj"	"minus_log10_padj"
protein_coding	SAMD11	"ENSG00000187634.11"	-0.16059991955163	0.807476792436678	1	0
protein_coding	NOC2L	"ENSG00000188976.10"	0.0355926141013773	0.876605542656008	1	0
protein_coding	KLHL17	"ENSG00000187961.13"	0.0472249588423387	0.839746218692326	1	0
protein_coding	PLEKHN1	"ENSG00000187583.10"	0.140580833778848	0.678478085858711	1	0
protein_coding	HES4	"ENSG00000188290.10"	1.00912786787604	0.0145442988598296	1	0
protein_coding	ISG15	"ENSG00000187608.9"	0.478406456439332	0.0692615800851306	1	0
protein_coding	AGRN	"ENSG00000188157.14"	0.128109247830287	0.525393643131664	1	0
protein_coding	C1orf159	"ENSG00000131591.17"	0.146865265934901	0.360430884035016	1	0
protein_coding	TNFRSF4	"ENSG00000186827.10"	-0.97582098933258	0.609664713561615	1	0
protein_coding	SDF4	"ENSG00000078808.16"	0.0743930762396467	0.50603613583948	1	0
protein_coding	B3GALT6	"ENSG00000176022.5"	0.146554528383967	0.219149984117007	1	0
protein_coding	C1QTNF12	"ENSG00000184163.3"	-0.239541387574185	0.624827641448561	1	0
protein_coding	UBE2J2	"ENSG00000160087.20"	0.0018488038869793	0.987908578882731	1	0
protein_coding	SCNN1D	"ENSG00000162572.20"	0.242762763348209	0.60489387192418	1	0
protein_coding	ACAP3	"ENSG00000131584.18"	0.0639094724900999	0.652935705825688	1	0
protein_coding	PUSL1	"ENSG00000169972.11"	0.275190609244863	0.163123726721579	1	0
protein_coding	INTS11	"ENSG00000127054.20"	0.0458886711453784	0.711755053089762	1	0
protein_coding	CPTP	"ENSG00000224051.6"	0.15417656448188	0.278541007364327	1	0
protein_coding	TAS1R3	"ENSG00000169962.4"	-1.89778933160398	0.0166859856343969	1	0
protein_coding	DVL1	"ENSG00000107404.19"	-0.00703391917643654	0.977252456701924	1	0
protein_coding	MXRA8	"ENSG00000162576.16"	0.100802801032226	0.671782133506507	1	0
protein_coding	AURKAIP1	"ENSG00000175756.13"	0.170324244308051	0.389253621248388	1	0
protein_coding	CCNL2	"ENSG00000221978.11"	0.0636715422423717	0.663966292350322	1	0
protein_coding	MRPL20	"ENSG00000242485.5"	0.125214360149451	0.534174266887772	1	0
protein_coding	ANKRD65	"ENSG00000235098.8"	-0.289244488767549	0.845426489067108	1	0
protein_coding	VWA1	"ENSG00000179403.11"	0.654206555463274	0.101209707320093	1	0
protein_coding	ATAD3C	"ENSG00000215915.9"	0.0446266293294244	0.977540278711995	1	0
protein_coding	ATAD3B	"ENSG00000160072.19"	0.105331614796438	0.729806377789737	1	0
protein_coding	ATAD3A	"ENSG00000197785.13"	-0.00186715251084122	0.994226758649318	1	0
