sampleID,celltype,condition,time,batch
AS01001,TLR10LOV,dark,3h,A
AS01002,TLR10LOV,light,3h,A
AS01003,wildtype,light,3h,A
AS01004,TLR10LOV,dark,16h,A
AS01005,TLR10LOV,light,16h,A
AS01006,wildtype,light,16h,A
AS01007,TLR10LOV,dark,3h,B
AS01008,TLR10LOV,light,3h,B
AS01009,wildtype,light,3h,B
AS01010,TLR10LOV,dark,16h,B
AS01011,TLR10LOV,light,16h,B
AS01012,wildtype,light,16h,B
AS01013,TLR10LOV,dark,3h,C
AS01014,TLR10LOV,light,3h,C
AS01015,wildtype,light,3h,C
AS01016,TLR10LOV,dark,16h,C
AS01017,TLR10LOV,light,16h,C
AS01018,wildtype,light,16h,C
