"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007059","chromosome segregation",404,-0.760904333139029,-2.31947112286043,7.67901752896949e-35,3.69744694019881e-31,3.14920550451212e-31,2472,"tags=47%, list=8%, signal=44%","KIF2A/KMT5A/GOLGA8A/MND1/CEP63/ACTL6A/ARID1A/SMARCC2/MSH5/CHMP2B/DDB1/SLC25A5/HAUS2/DIS3L2/PUM2/NUP62/NR3C1/RB1/SMARCE1/RIOK3/CDK5RAP2/CTCF/SEH1L/SMC5/HNRNPU/ANAPC15/STAG3/STAG1/ZW10/ANAPC5/MZT1/NCOR1/HAUS1/HAUS5/SYCP2/CENPJ/RAD21L1/GPSM2/CEP97/CLASP2/STARD9/ZNF207/MAP3K20/ERCC2/CHMP3/PTTG1/CEP85/NIPBL/CHAMP1/ATM/HAUS8/CDT1/RMI2/BUB3/TOP3A/BAZ1B/SMARCC1/CENPM/HAUS3/APC/NCAPH2/TUBG1/CCNB1/TUBGCP3/ANAPC1/WASHC5/CDC27/UBE2C/CENPW/OIP5/CENPH/TUBGCP5/RAD21/SMC3/ACTR2/RMDN1/ACTB/DYNC1H1/NEK7/MRE11/KNSTRN/CENPL/CCNB2/DPF1/DSN1/NDE1/MAD2L1/ESPL1/FMN2/SKA2/MIS18A/BIRC5/ITGB3BP/NDC80/EML4/HAUS6/PBRM1/SASS6/KIF22/PRC1/PLK1/SPC24/CDC20/AURKA/KPNB1/CENPN/FLNA/NEK2/RAD18/CDCA2/CENPQ/CDCA5/KIF2C/TACC3/TPR/PSRC1/SMC4/NCAPD2/SGO1/XRCC3/MYBL2/SGO2/SMC1A/SKA1/NUF2/ZWILCH/PSMC3IP/CCNE2/CENPO/INCENP/DMC1/NDC1/FIRRM/SKA3/TRIP13/DLGAP5/TUBB/SPAG5/CEP192/ECT2/CDK1/GEN1/SPC25/NCAPD3/TPX2/NUSAP1/KIF18B/AURKB/RACGAP1/HJURP/ZWINT/FAM83D/KIF11/BRCA1/BUB1/CDCA8/STIL/FANCD2/SMC2/CENPP/FBXO5/KIF18A/DPF3/HASPIN/CENPF/KIFC1/CENPK/ESCO2/KNL1/CDC6/CENPE/SPDL1/CENPU/TOP2A/ASPM/NCAPG2/KIF14/TTK/KIF4A/NCAPH/NCAPG/KIF23/KNTC1/PRICKLE1/CENPI/BUB1B/MKI67/BRIP1/TTN"
"GO:0098813","nuclear chromosome segregation",297,-0.780295841980354,-2.32797869212703,2.54790891095737e-29,6.13409070312987e-26,5.22455427215259e-26,2572,"tags=47%, list=8%, signal=44%","ACTR3/BAG6/KIF2A/KMT5A/MND1/ACTL6A/ARID1A/SMARCC2/MSH5/CHMP2B/DDB1/DIS3L2/NUP62/RB1/SMARCE1/CDK5RAP2/SEH1L/HNRNPU/ANAPC15/STAG3/STAG1/ZW10/ANAPC5/MZT1/SYCP2/CEP97/CLASP2/ZNF207/MAP3K20/CHMP3/PTTG1/NIPBL/CHAMP1/ATM/CDT1/RMI2/BUB3/BAZ1B/SMARCC1/APC/NCAPH2/TUBG1/CCNB1/ANAPC1/WASHC5/CDC27/UBE2C/RAD21/SMC3/ACTR2/RMDN1/ACTB/DYNC1H1/MRE11/KNSTRN/CCNB2/DPF1/DSN1/MAD2L1/ESPL1/FMN2/BIRC5/NDC80/EML4/PBRM1/KIF22/PRC1/PLK1/SPC24/CDC20/AURKA/KPNB1/FLNA/NEK2/CENPQ/CDCA5/KIF2C/TACC3/TPR/PSRC1/SMC4/NCAPD2/SGO1/XRCC3/MYBL2/SMC1A/NUF2/ZWILCH/PSMC3IP/CCNE2/INCENP/DMC1/NDC1/TRIP13/DLGAP5/SPAG5/CEP192/ECT2/CDK1/GEN1/SPC25/NCAPD3/TPX2/NUSAP1/KIF18B/AURKB/RACGAP1/ZWINT/FAM83D/KIF11/BUB1/CDCA8/FANCD2/SMC2/FBXO5/KIF18A/DPF3/HASPIN/CENPF/KIFC1/CENPK/KNL1/CDC6/CENPE/SPDL1/TOP2A/ASPM/NCAPG2/KIF14/TTK/KIF4A/NCAPH/NCAPG/KIF23/KNTC1/PRICKLE1/CENPI/BUB1B/BRIP1/TTN"
"GO:0000280","nuclear division",413,-0.732769986755833,-2.24651331020431,7.74823525381442e-29,1.24359175823722e-25,1.05919735259161e-25,2779,"tags=41%, list=9%, signal=38%","MLH1/MAPRE1/RAD1/CDC42/EPS8/CHEK1/ACTR3/BAG6/KIF2A/KMT5A/MND1/MSH5/CHMP2B/DDB1/RAD51D/DIS3L2/NUP62/RB1/CKS2/REEP4/UBE2S/CDK5RAP2/RAD51C/SEH1L/CDC25B/HNRNPU/ANAPC15/STAG3/STAG1/TOM1L2/ZW10/ANAPC5/RANBP1/MZT1/SYCP2/PDE3A/TOP6BL/CEP97/CLASP2/ZNF207/CHMP3/PTTG1/CEP85/NIPBL/PHIP/CHAMP1/PLCB1/HSPA2/ATM/CDT1/RAD54B/BUB3/BAZ1B/APC/NCAPH2/TUBG1/CCNB1/WASHC5/UBE2C/BRME1/RAD21/SMC3/SLX4/ACTR2/RMDN1/MRE11/KNSTRN/RAD50/CCNB2/DSN1/NDE1/MAD2L1/ESPL1/FMN2/BIRC5/NDC80/EML4/KIF22/PRC1/PLK1/SPC24/RMI1/CDC20/AURKA/KPNB1/PKMYT1/EDN1/FLNA/NEK2/CDCA2/CDCA5/KIF2C/TPR/PSRC1/SMC4/NCAPD2/SGO1/XRCC3/MYBL2/SMC1A/RAD51/NUF2/ZWILCH/PSMC3IP/CCNE2/INCENP/DMC1/NDC1/TRIP13/BMP4/DLGAP5/CDC25C/SPAG5/CEP192/CDK1/GEN1/SPC25/RAD54L/NCAPD3/TPX2/NUSAP1/FANCM/KIF18B/AURKB/RACGAP1/ZWINT/KIF11/EME1/BUB1/CDCA8/FANCD2/SMC2/FBXO5/KIF18A/BORA/HASPIN/CENPF/FANCA/MASTL/FIGNL1/BRCA2/KIFC1/CENPK/KNL1/CENPE/SPDL1/TOP2A/MTBP/MYBL1/KIF20B/ASPM/FBXO43/ANLN/NCAPG2/KIF14/TTK/KIF4A/NCAPH/NCAPG/KIF23/RAD51AP1/KNTC1/PRICKLE1/CENPI/BUB1B/MKI67/BRIP1/TTN"
"GO:0048285","organelle fission",459,-0.712376708720576,-2.19475130944255,1.61996470327738e-28,1.95003251157015e-25,1.66089012736018e-25,3019,"tags=40%, list=9%, signal=37%","TESMIN/RAB11A/REEP3/TENT4A/RALBP1/GDAP1/ARHGEF10/MLH1/MAPRE1/RAD1/CDC42/EPS8/CORO1C/CHEK1/ACTR3/BAG6/MYO19/KIF2A/KMT5A/MND1/MSH5/CHMP2B/DDB1/RAD51D/DIS3L2/NUP62/RB1/CKS2/REEP4/UBE2S/CDK5RAP2/RAD51C/SEH1L/CDC25B/HNRNPU/ANAPC15/STAG3/STAG1/TOM1L2/ZW10/ANAPC5/RANBP1/MZT1/SYCP2/PDE3A/TOP6BL/CEP97/CLASP2/ZNF207/CHMP3/PTTG1/CEP85/TMEM135/NIPBL/PHIP/CHAMP1/PLCB1/HSPA2/ATM/MCU/CDT1/DNM1L/RAD54B/BUB3/BAZ1B/APC/NCAPH2/TUBG1/CCNB1/WASHC5/UBE2C/AP3B1/BRME1/RAD21/SMC3/SLX4/ACTR2/RMDN1/MRE11/KNSTRN/RAD50/CCNB2/DSN1/NDE1/MAD2L1/ESPL1/FMN2/BIRC5/NDC80/EML4/KIF22/PRC1/PLK1/SPC24/RMI1/CDC20/AURKA/KPNB1/PKMYT1/EDN1/FLNA/NEK2/CDCA2/CDCA5/KIF2C/TPR/PSRC1/SMC4/NCAPD2/SGO1/XRCC3/MYBL2/MTFR2/SMC1A/RAD51/NUF2/ZWILCH/DDHD2/PSMC3IP/CCNE2/INCENP/DMC1/NDC1/TRIP13/BMP4/DLGAP5/CDC25C/SPAG5/CEP192/CDK1/GEN1/SPC25/RAD54L/NCAPD3/TPX2/NUSAP1/FANCM/KIF18B/AURKB/RACGAP1/ZWINT/KIF11/EME1/BUB1/CDCA8/FANCD2/SMC2/FBXO5/KIF18A/BORA/HASPIN/CENPF/FANCA/MASTL/FIGNL1/BRCA2/KIFC1/CENPK/KNL1/CENPE/SPDL1/TOP2A/MTBP/MYBL1/KIF20B/ASPM/FBXO43/ANLN/NCAPG2/KIF14/TTK/KIF4A/NCAPH/NCAPG/KIF23/RAD51AP1/KNTC1/PRICKLE1/CENPI/BUB1B/MKI67/BRIP1/TTN"
"GO:1901987","regulation of cell cycle phase transition",417,-0.714113756309481,-2.18749574507751,2.86210045980435e-26,2.75620274279159e-23,2.34752492450479e-23,3039,"tags=42%, list=9%, signal=39%","ATP2B4/MECP2/RAB11A/CRLF3/CTDSPL/ID2/ADAMTS1/SMARCA4/PRPF19/NPM1/MACROH2A1/RAD1/CDC73/CHEK1/MEPCE/APPL2/CEP63/ACTL6A/ARID1A/SMARCC2/DDB1/RDX/ECD/RB1/SMARCE1/INHBA/FOXN3/CCND1/DDX39B/DOT1L/TAOK1/STXBP4/CDK5RAP2/RAD51C/CDC25B/ANAPC15/DONSON/ZW10/CPSF3/PTPN11/INTS7/ANAPC5/CCNH/CENPJ/EIF4G1/ATRIP/KMT2E/ERCC6/ZNF207/MAP3K20/ERCC2/ANKRD17/TMOD3/PLCB1/FBXO4/HSPA2/ATM/PLK2/CDT1/KANK2/FHL1/CDKN2D/GIGYF2/BUB3/TELO2/CLOCK/NABP1/WEE1/ATR/CDK6/SMARCC1/EGFR/APC/ZNF655/CCNB1/APBB2/CDC25A/UBE2C/NEK10/DBF4/CDK2/H2AX/RAD21/TAF1/ACTB/CDKN2C/MRE11/JADE1/RAD50/BRCC3/DPF1/RRM2/MAD2L1/RBBP8/ESPL1/PKD2/CASP2/MDC1/BIRC5/NDC80/TIMELESS/BCL2/DLG1/TOPBP1/DDR2/PBRM1/TFDP1/SASS6/E2F7/PLK1/CRY1/SPC24/CDC20/AURKA/RBL1/PKMYT1/RFWD3/CDCA5/TPR/DBF4B/CDC7/XRCC3/RRM1/RAD51/NUF2/ZWILCH/CDC45/INCENP/MSH2/TRIP13/DLGAP5/E2F1/CDC25C/CLSPN/CDK1/GEN1/SPC25/CUL4B/PRKDC/DNA2/WDR76/AURKB/BARD1/ATAD5/BLM/ZWINT/FAM83D/BRCA1/EME1/BUB1/CDCA8/EZH2/STIL/FANCD2/FBXO5/DPF3/HASPIN/CENPF/GTSE1/BRCA2/KNL1/CDC6/CENPE/SPDL1/MTBP/TERT/DTL/ANLN/KIF14/TTK/ORC1/TICRR/KNTC1/BUB1B/BRIP1"
"GO:0000819","sister chromatid segregation",220,-0.807236173127095,-2.34401074050564,9.2717094451119e-26,7.4405468297023e-23,6.33729473651859e-23,2472,"tags=52%, list=8%, signal=48%","KIF2A/KMT5A/ACTL6A/ARID1A/SMARCC2/CHMP2B/DIS3L2/NUP62/RB1/SMARCE1/CDK5RAP2/SEH1L/HNRNPU/ANAPC15/STAG1/ZW10/ANAPC5/MZT1/CEP97/CLASP2/ZNF207/MAP3K20/CHMP3/NIPBL/CHAMP1/ATM/CDT1/RMI2/BUB3/BAZ1B/SMARCC1/APC/NCAPH2/TUBG1/CCNB1/ANAPC1/CDC27/UBE2C/RAD21/SMC3/RMDN1/ACTB/KNSTRN/DPF1/DSN1/MAD2L1/ESPL1/BIRC5/NDC80/EML4/PBRM1/KIF22/PRC1/PLK1/SPC24/CDC20/KPNB1/FLNA/NEK2/CDCA5/KIF2C/TACC3/TPR/PSRC1/SMC4/NCAPD2/XRCC3/MYBL2/SMC1A/NUF2/ZWILCH/INCENP/TRIP13/DLGAP5/SPAG5/CEP192/CDK1/GEN1/SPC25/NCAPD3/TPX2/NUSAP1/KIF18B/AURKB/RACGAP1/ZWINT/KIF11/BUB1/CDCA8/SMC2/FBXO5/KIF18A/DPF3/HASPIN/CENPF/KIFC1/CENPK/KNL1/CDC6/CENPE/SPDL1/TOP2A/NCAPG2/KIF14/TTK/KIF4A/NCAPH/NCAPG/KIF23/KNTC1/PRICKLE1/CENPI/BUB1B/TTN"
"GO:0044772","mitotic cell cycle phase transition",435,-0.701517478748851,-2.15273590105698,1.06762844839668e-24,7.34375854147148e-22,6.25485779692253e-22,3440,"tags=43%, list=11%, signal=39%","PPM1D/PLRG1/MBLAC1/GSPT1/CDK16/DDX3X/MBTPS2/INIP/MAD1L1/KDM8/BCAT1/MECP2/LATS1/RAB11A/CCNB3/CRLF3/CTDSPL/ID2/ADAMTS1/SMARCA4/E2F3/FBXL7/CDC73/EPS8/CHEK1/CALM1/MEPCE/DNM2/APPL2/NPAT/KHDRBS1/PIAS1/ACTL6A/ARID1A/SMARCC2/DDB1/RDX/ECD/RB1/SMARCE1/INHBA/FOXN3/CKS2/CCND1/TAOK1/ARPP19/UBE2S/CDK5RAP2/RAD51C/SMC5/CDC25B/ANAPC15/DONSON/TAF2/USP37/ZW10/CALM3/CPSF3/ANAPC5/CCNH/CENPJ/EIF4G1/KMT2E/ABCB1/CLASP2/ZNF207/MAP3K20/ERCC2/ANKRD17/TMOD3/PLCB1/HSPA2/ATM/PLK2/KANK2/FHL1/CDKN2D/GIGYF2/BUB3/NABP1/WEE1/CDK6/SMARCC1/EGFR/RPS6KB1/APC/ZNF655/CCNB1/CDC25A/ANAPC1/CDC27/UBE2C/DBF4/SKP2/CDK2/RAD21/ACTB/CDKN2C/CDK15/MRE11/JADE1/RAD50/BRCC3/CCNB2/DPF1/ITGB1/RRM2/MAD2L1/RBBP8/ESPL1/PKD2/CASP2/CKS1B/BIRC5/NDC80/BCL2/DLG1/TOPBP1/DDR2/PBRM1/TFDP1/SASS6/CDKN3/E2F7/PLK1/SPC24/CDC20/AURKA/RBL1/PKMYT1/RFWD3/CDCA5/TACC3/TPR/DBF4B/CDC7/XRCC3/RRM1/NUF2/ZWILCH/E2F2/CCNE2/INCENP/TRIP13/DLGAP5/CCNF/E2F1/CDC25C/CLSPN/CDK1/GEN1/SPC25/MELK/CUL4B/PRKDC/AURKB/BARD1/ATAD5/BLM/CCNA2/ZWINT/FOXM1/BRCA1/POLE/BUB1/CDCA8/EZH2/STIL/FBXO5/DPF3/HASPIN/CENPF/MASTL/GTSE1/KNL1/CDC6/CENPE/SPDL1/IQGAP3/MTBP/TERT/DTL/ANLN/KIF14/TTK/ORC1/TICRR/KNTC1/BUB1B"
"GO:0007346","regulation of mitotic cell cycle",477,-0.677335331550709,-2.09195463031959,1.36378084065388e-22,8.20825593468555e-20,6.99117125682569e-20,2396,"tags=34%, list=7%, signal=32%","ACTL6A/ARID1A/SMARCC2/DDB1/RDX/GBF1/ECD/NUP62/RB1/SMARCE1/INHBA/FOXN3/CKS2/CCND1/TAOK1/CDK5RAP2/RAD51C/CDC25B/HNRNPU/ANAPC15/DONSON/TOM1L2/ZW10/CPSF3/PTPN11/ANAPC5/CCNH/FOXA1/TTC28/CENPJ/EIF4G1/KMT2E/ZNF207/PKN2/MAP3K20/ERCC2/IQGAP1/ANKRD17/TMOD3/PHIP/PLCB1/HSPA2/ATM/PLK2/KANK2/FHL1/CDKN2D/GIGYF2/BUB3/NABP1/WEE1/CDK6/SMARCC1/EGFR/RPS6KB1/APC/ZNF655/CCNB1/CDC25A/ANAPC1/CDC27/UBE2C/YTHDC2/CDK2/RAD21/ACTB/CDKN2C/NEK7/MRE11/JADE1/RAD50/BRCC3/DPF1/RRM2/MAD2L1/RBBP8/ESPL1/PKD2/CASP2/CKS1B/MDC1/BIRC5/PRKCA/NDC80/BCL2/DLG1/TOPBP1/DDR2/PBRM1/TFDP1/SASS6/E2F7/PLK1/GMNN/SPC24/CDC20/AURKA/RBL1/PKMYT1/EDN1/NEK2/RFWD3/CDCA2/CDCA5/TPR/DBF4B/CDC7/XRCC3/RRM1/NUF2/ZWILCH/INCENP/MSH2/TRIP13/BMP4/DLGAP5/E2F1/CDC25C/CLSPN/CDK1/GEN1/SPC25/CUL4B/PRKDC/NUSAP1/AURKB/BARD1/ATAD5/BLM/ZWINT/BRCA1/EME1/BUB1/CDCA8/EZH2/STIL/FANCD2/FBXO5/BORA/DPF3/HASPIN/CENPF/GTSE1/BRCA2/KNL1/CDC6/CENPE/SPDL1/MTBP/KIF20B/TERT/DTL/FBXO43/ANLN/KIF14/TTK/ORC1/TICRR/KNTC1/BUB1B/MKI67"
"GO:0000070","mitotic sister chromatid segregation",181,-0.815096339100415,-2.31651780103144,2.12442325146393e-22,1.1365664395332e-19,9.68041285111519e-20,2191,"tags=52%, list=7%, signal=49%","DIS3L2/NUP62/RB1/CDK5RAP2/SEH1L/HNRNPU/ANAPC15/STAG1/ZW10/ANAPC5/MZT1/CEP97/CLASP2/ZNF207/CHMP3/NIPBL/CHAMP1/ATM/CDT1/BUB3/BAZ1B/APC/NCAPH2/TUBG1/CCNB1/UBE2C/RAD21/SMC3/RMDN1/KNSTRN/DSN1/MAD2L1/ESPL1/BIRC5/NDC80/EML4/KIF22/PRC1/PLK1/SPC24/CDC20/KPNB1/FLNA/NEK2/CDCA5/KIF2C/TPR/PSRC1/SMC4/NCAPD2/XRCC3/MYBL2/SMC1A/NUF2/ZWILCH/INCENP/TRIP13/DLGAP5/SPAG5/CEP192/CDK1/GEN1/SPC25/NCAPD3/TPX2/NUSAP1/KIF18B/AURKB/RACGAP1/ZWINT/KIF11/BUB1/CDCA8/SMC2/FBXO5/KIF18A/HASPIN/CENPF/KIFC1/CENPK/KNL1/CENPE/SPDL1/NCAPG2/KIF14/TTK/KIF4A/NCAPH/NCAPG/KIF23/KNTC1/PRICKLE1/CENPI/BUB1B/TTN"
"GO:1901990","regulation of mitotic cell cycle phase transition",322,-0.727319713744549,-2.18461891225969,2.68237998380291e-22,1.2915659622011e-19,1.10005814914696e-19,2396,"tags=39%, list=7%, signal=37%","ACTL6A/ARID1A/SMARCC2/DDB1/RDX/ECD/RB1/SMARCE1/INHBA/FOXN3/CCND1/TAOK1/CDK5RAP2/RAD51C/CDC25B/ANAPC15/DONSON/ZW10/CPSF3/ANAPC5/CCNH/CENPJ/EIF4G1/KMT2E/ZNF207/MAP3K20/ERCC2/ANKRD17/TMOD3/PLCB1/HSPA2/ATM/PLK2/KANK2/FHL1/CDKN2D/GIGYF2/BUB3/NABP1/WEE1/CDK6/SMARCC1/EGFR/APC/ZNF655/CCNB1/CDC25A/UBE2C/CDK2/RAD21/ACTB/CDKN2C/MRE11/JADE1/RAD50/BRCC3/DPF1/RRM2/MAD2L1/RBBP8/ESPL1/PKD2/CASP2/BIRC5/NDC80/BCL2/DLG1/TOPBP1/DDR2/PBRM1/TFDP1/SASS6/E2F7/PLK1/SPC24/CDC20/AURKA/RBL1/RFWD3/CDCA5/TPR/DBF4B/CDC7/XRCC3/RRM1/NUF2/ZWILCH/INCENP/TRIP13/DLGAP5/E2F1/CDC25C/CLSPN/CDK1/GEN1/SPC25/CUL4B/PRKDC/AURKB/BARD1/ATAD5/BLM/ZWINT/BRCA1/BUB1/CDCA8/EZH2/STIL/FBXO5/DPF3/HASPIN/CENPF/GTSE1/KNL1/CDC6/CENPE/SPDL1/MTBP/TERT/DTL/ANLN/KIF14/TTK/ORC1/TICRR/KNTC1/BUB1B"
