"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04110","Cell cycle",155,-0.753223452607514,-2.27143256504255,4.03886725809327e-16,1.34898166420315e-13,1.06285980476139e-13,1963,"tags=47%, list=9%, signal=43%","RB1/CCND1/TGFB2/CDC25B/EP300/ANAPC15/PDS5B/STAG1/ANAPC5/CCNH/PTTG1/NIPBL/ATM/CDT1/CDKN2D/BUB3/CREBBP/WEE1/ATR/CDK6/CCNB1/CDC25A/ANAPC1/CDC27/ORC3/DBF4/SKP2/CDK2/RAD21/SMC3/CDKN2C/CCNB2/PCNA/MAD2L1/ESPL1/NDC80/TFDP1/PLK1/CDC20/RBL1/PKMYT1/CDCA5/ORC6/DBF4B/CDC7/SGO1/MCM6/SMC1A/E2F2/CCNE2/CDC45/TRIP13/E2F1/CDC25C/MCM4/MCM5/CDK1/PRKDC/MCM3/AURKB/CCNA2/BUB1/FBXO5/MCM2/ESCO2/KNL1/CDC6/MTBP/MCM7/TTK/ORC1/TICRR/BUB1B"
"hsa03010","Ribosome",129,0.663760866300994,2.11791208658188,1.18271872277084e-09,1.97514026702731e-07,1.55620884575111e-07,6043,"tags=71%, list=27%, signal=52%","MRPL23/RPS27/MRPL34/MRPL2/MRPL10/RPS15A/RPS19/RSL24D1/MRPS17/RPL28/RPL39/MRPL9/RPS28/MRPL16/RPL13A/MRPL36/MRPL14/MRPS18A/RPS27L/RPS10/RPL37A/RPL9/RPL13/RPLP1/MRPS12/FAU/RPS9/RPL21/MRPS5/RPL12/RPS11/RPS16/MRPS15/RPS3/MRPL27/RPL30/RPL31/MRPL18/MRPL12/RPLP2/RPL10/RPS14/RPL18A/RPS5/UBA52/RPS20/RPL27A/RPL36/RPL3/RPL36AL/RPL37/RPL23A/RPL34/MRPS18C/RPS15/RPS17/MRPL24/RPS13/RPL18/RPS29/MRPL11/MRPS21/RPL29/RPL38/RPS27A/RPS6/RPS21/RPL27/MRPS2/MRPL19/RPL26/RPL35A/RPL14/RPS3A/MRPL4/RPS25/RPL5/MRPS7/MRPL21/MRPL32/RPL22/MRPL13/MRPS9/RPL7/RPS8/RPL8/MRPL1/RPS4X/RPL7A/RPS26/RPL32"
"hsa04510","Focal adhesion",195,-0.620992865370483,-1.92386544818767,6.93547127811016e-09,7.72149135629597e-07,6.08374673518435e-07,3758,"tags=42%, list=17%, signal=35%","IGF1R/PDGFB/COL4A1/ITGB5/PAK2/ITGB3/LAMA5/COL6A6/EMP2/LAMA4/LAMB1/ITGA5/CAV2/GSK3B/PIP5K1A/ITGA10/MYL12A/TNXB/MYL12B/ITGAV/CDC42/BRAF/PIK3CD/PIK3CB/ILK/MAPK9/TNC/RAC2/COL1A1/PPP1R12A/CCND1/EMP1/PPP1CC/PDPK1/RELN/COL4A5/MAPK8/ZYX/ARHGAP5/MYL9/COL4A2/ITGA1/SHC4/PDGFC/BIRC2/PARVA/COL6A3/ROCK2/ROCK1/ITGA4/EGFR/DIAPH1/TLN2/LAMA3/ACTG1/PXN/ACTB/LAMC1/LAMA1/LAMC2/THBS1/ITGA3/ITGB1/ACTN1/MET/PRKCA/DOCK1/BCL2/CAPN2/FN1/CAV1/PPP1R12B/ITGA6/VCL/TLN1/ACTN4/FLNA/FLNB/COL4A6/MYLK/RASGRF1/FLT1"
"hsa03030","DNA replication",36,-0.856802610150358,-2.10256856127894,6.23282601004681e-08,3.12042522824121e-06,2.45857644834637e-06,2048,"tags=78%, list=9%, signal=71%","RPA3/RNASEH1/POLE3/RFC4/RNASEH2A/POLD3/POLD1/RFC1/POLA2/RFC5/PCNA/PRIM1/RPA1/PRIM2/POLE2/MCM6/RFC2/FEN1/MCM4/MCM5/DNA2/MCM3/POLE/RFC3/POLA1/MCM2/MCM7/LIG1"
"hsa03440","Homologous recombination",41,-0.843384106508137,-2.10173788289104,6.53981335260134e-08,3.12042522824121e-06,2.45857644834637e-06,2101,"tags=59%, list=9%, signal=53%","PALB2/RAD51D/RAD51C/POLD3/POLD1/ATM/RAD54B/TOP3A/MRE11/RAD50/BRCC3/RBBP8/TOPBP1/RPA1/XRCC3/RAD51/XRCC2/RAD54L/BARD1/BLM/BRCA1/EME1/BRCA2/BRIP1"
"hsa03460","Fanconi anemia pathway",54,-0.79220648686441,-2.07505761991616,6.11182399742494e-08,3.12042522824121e-06,2.45857644834637e-06,2672,"tags=57%, list=12%, signal=51%","POLK/PMS2/RPA3/FANCC/FAAP100/MLH1/PALB2/RAD51C/ATRIP/RMI2/TOP3A/TELO2/ATR/POLH/SLX4/RPA1/RMI1/FANCG/UBE2T/USP1/RAD51/FANCB/FANCM/BLM/BRCA1/EME1/FANCD2/FANCA/BRCA2/FANCI/BRIP1"
"hsa04814","Motor proteins",173,-0.616365751607228,-1.88881524393171,5.06295525966297e-08,3.12042522824121e-06,2.45857644834637e-06,2776,"tags=35%, list=12%, signal=31%","DNAH8/TUBG2/DNAH1/CAPZA1/TPM4/MYL12A/MYL12B/DYNLT5/CAPZB/KIF1C/TPM2/DYNC1LI2/MYO1B/MYO1F/KIF1B/MYO19/KIF2A/TUBD1/TPM3/DNAL1/MYO6/MYH15/MYH2/MYL9/TUBA1C/STARD9/DNAH11/DCTN1/MYO5B/TUBA1B/TUBG1/TUBA1A/KIF5B/ACTG1/MYH9/MYO7B/ACTB/DYNC1H1/TUBB4B/KIF22/DYNC2H1/MYO5A/TUBB6/DNAI3/KIF2C/MYO10/KIF20A/TPM1/KIF24/TUBB/MYH10/KIF18B/KIF11/KIF18A/KIF15/KIFC1/CENPE/KIF20B/KIF14/KIF4A/KIF23"
"hsa04820","Cytoskeleton in muscle cells",212,-0.586454278263858,-1.82941891514839,1.62645387851404e-07,6.79044494279612e-06,5.35017723195408e-06,3706,"tags=42%, list=17%, signal=36%","COL4A1/SDC3/SDC4/ITGB5/DSP/ITGB3/DAAM1/COL6A6/EMD/XIRP2/TMOD2/PDLIM5/COL5A2/ITGA5/ENO2/DIAPH2/ANKRD1/SYNE3/CAPZA1/ITGA10/TPM4/CAPZB/ITGAV/SNTB1/SUN2/TPM2/DAG1/FMNL3/DSG2/DMD/SGCB/FLNC/SNTB2/COL1A1/ATP1B1/TPM3/SDC2/ANK3/COL4A5/MYH15/MYH2/ZYX/ENO1/MYL9/LMNA/COL4A2/ITGA1/PDLIM7/NEBL/LBR/COL6A3/ANKRD23/TMOD3/ANK2/FHL1/SYNE1/ITGA4/LMOD1/DIAPH1/TLN2/FHL2/CSRP1/ACTG1/MYH9/SPTAN1/SYNPO2/ACTB/SYNE2/LAMA1/THBS1/ITGA3/ITGB1/FMN2/SPTBN1/LMNB2/FN1/PLEC/ITGA6/VCL/MYPN/TLN1/LMNB1/HSPG2/TPM1/COL4A6/FBN1/MYH10/VCAN/DIAPH3/TTN"
"hsa03013","Nucleocytoplasmic transport",106,-0.668283519860352,-1.92744071829119,5.86585682220703e-07,2.17688464290794e-05,1.71516281351083e-05,3064,"tags=46%, list=14%, signal=40%","XPO7/NCBP1/RAN/ALYREF/UPF2/TNPO2/NUP133/UPF3A/NXF1/NXT2/NUP160/XPO4/AHCTF1/XPO5/NUP62/DDX39B/POM121/SEH1L/NUP54/NUP58/NUP153/KPNA1/NUP35/KPNA3/RANBP2/SUMO3/RANGAP1/NUP88/PNN/ACIN1/NUP85/NUP155/THOC2/NUP93/CSE1L/NUP98/NUP188/IPO5/NUP50/SRRM1/NUP205/RANBP17/IPO9/NUP214/NUP107/KPNB1/TPR/NDC1/KPNA2"
"hsa05204","Chemical carcinogenesis - DNA adducts",38,0.774967955726711,2.01474811974333,3.53503448940659e-06,0.00011807015194618,9.30272234054366e-05,2856,"tags=42%, list=13%, signal=37%","EPHX1/AKR1C2/GSTM3/MGST1/PTGS2/CYP1B1/GSTA4/MGST2/CBR1/HSD11B1L/GSTP1/HSD11B1/GSTM2/MGST3/CYP1A1/GSTM4"
