"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"DOID:1470","major depressive disorder",37,0.812977133845337,2.11375178789838,3.82125040249514e-06,0.0022622519130282,0.00205106204946083,1299,"tags=14%, list=6%, signal=13%","HSPA1A/HSPA1L/COMT/PTEN/EIF4B"
"DOID:2841","asthma",255,0.511856185536857,1.73199159383871,4.71793933895349e-06,0.0022622519130282,0.00205106204946083,1977,"tags=13%, list=9%, signal=12%","HSPA1B/HSPA1A/HSPB1/NFE2L2/LTA4H/UCN/PRMT2/CAT/GSTP1/SOD1/GSTM3/SELPLG/IFNGR1/MIF/ORMDL1/HLA-C/ARG2/NQO1/ANG/LGALS3/CASP1/BAX/HLA-B/ADH5/FAS/PTGS2/DCN/HLA-DPA1/EPHX1/TAP1/CD40/ADA/HLA-E"
"DOID:12306","vitiligo",70,0.692933543765414,2.00639670218211,1.01012868053447e-05,0.00322904468210851,0.00292760101797007,1359,"tags=23%, list=6%, signal=22%","HSPA1A/XBP1/NFE2L2/CAT/COMT/GSTP1/TSLP/HLA-A/PSMB8/GPX1/HLA-C/PSMB9/MSRB2/HLA-B/FAS/PTGS2"
"DOID:1176","bronchial disease",264,0.499412038608715,1.70489608249996,2.22907848838601e-05,0.00534421567590547,0.00484531271422855,1977,"tags=12%, list=9%, signal=12%","HSPA1B/HSPA1A/HSPB1/NFE2L2/LTA4H/UCN/PRMT2/CAT/GSTP1/SOD1/GSTM3/SELPLG/IFNGR1/MIF/ORMDL1/HLA-C/ARG2/NQO1/ANG/LGALS3/CASP1/BAX/HLA-B/ADH5/FAS/PTGS2/DCN/HLA-DPA1/EPHX1/TAP1/CD40/ADA/HLA-E"
"DOID:10459","common cold",19,0.901954501204836,2.07522318514343,4.03004871337624e-05,0.00593629410461046,0.00538211835838674,583,"tags=16%, list=3%, signal=15%","HSPA1A/TSLP/PRDX5"
"DOID:9406","hypopituitarism",17,-0.939543522806693,-2.05562734818274,3.62853066630099e-05,0.00593629410461046,0.00538211835838674,2,"tags=18%, list=0%, signal=18%","DNA2/EIF2S3B/OTX2"
"DOID:10825","essential hypertension",111,0.605358871811741,1.90785479610263,4.33306139022661e-05,0.00593629410461046,0.00538211835838674,2387,"tags=15%, list=11%, signal=14%","HSPA1B/HSPA1A/HSPA1L/MEX3C/CAT/CST3/GSTM3/ALDH2/ATP5PF/PSMB9/CLU/GDF15/RGS5/ADA/PPARG/HMOX1/GRK4"
"DOID:1339","Diamond-Blackfan anemia",24,0.863319309427093,2.05328589202024,7.05244093918431e-05,0.00845411357584719,0.00766488975758716,1548,"tags=67%, list=7%, signal=62%","RPS19/RPS28/RPS15A/RPL27/RPL15/RPS29/RPS10/RPL35A/RPL11/RPL26/RPL18/RPL5/RPL35/FLVCR1/RPS24/RPS7"
"DOID:26","pancreas disease",158,0.53029424266314,1.74591993049781,8.13926580888149e-05,0.00867283990079705,0.00786319714401884,4939,"tags=33%, list=22%, signal=26%","HSPA1B/HSPB1/PDGFA/GSTP1/RPLP2/SOD1/BTG2/ALDH2/MIF/CTSB/LEPR/CASP1/CTSL/PTGS2/HSPE1/DUSP10/PPARG/IRF9/CXCL2/CXCL3/NFKBIA/CD14/CD46/GCH1/MTHFR/CD59/CXCL1/HSP90AB1/SERPINA1/IL15/VCAM1/LAMP2/ADAMTS13/PROS1/EGR1/ST8SIA4/IL6/MMP2/SERPING1/KRT8/BNIP3L/TLR2/VEGFA/GAS6/ICAM1/TNFSF10/BDKRB2/CCL2/SERPINF2/ADH1B/CD4/HLA-DRB1"
"DOID:1936","atherosclerosis",300,0.443134279423981,1.52264722968251,0.000161086913127466,0.015448234968924,0.0140060831835039,5113,"tags=33%, list=23%, signal=26%","HSPA1A/HSPB1/XBP1/NFE2L2/PEPD/CAT/GSTP1/CST3/BSG/SOD1/TXN/ALDH2/MIF/CTSB/TSPO/TNFSF12/LEPR/CAPG/ARG2/TRIB3/ACTA2/FAS/PTGS2/LGALS1/ADAM17/RTN3/CLU/CD40/RGS5/GRN/CDKN2B/TNFRSF11B/PPARG/HMOX1/NAMPT/PLIN2/USF1/CFH/PON2/CD14/AKR1B1/NAXE/PDE4D/ADAM33/MGP/PPARA/SELENOS/ADAM8/NR1H3/APOE/SCARB2/CD36/CTSS/MTHFR/CD59/ADM/CXCL1/PPIA/IL32/VCAM1/TNFRSF14/RHOA/CYP27A1/IL6/LTBR/JAM3/HNRNPC/MMP2/TLR2/SCARB1/VWF/VEGFA/CSF1/HDAC5/ZNF202/GAS6/NR1D1/FOXO3/SCD/MMP14/PTX3/ICAM1/SOCS1/ST8SIA1/TNFSF10/CHI3L1/VIM/PON3/CCL2/ADAM9/NRG1/JAK2/APOC3/PCSK9/AGT/PLAT/CDKN1C/TNFRSF1A"
