"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030865","cortical cytoskeleton organization",50,-0.997303384510424,-2.27216298787534,1.14566277381079e-06,0.00392606468589983,0.00370097631865334,2,"tags=4%, list=0%, signal=4%","PLEK/LCP1"
"GO:0002224","toll-like receptor signaling pathway",63,0.998347650795652,2.16101956479787,1.63076414782963e-06,0.00392606468589983,0.00370097631865334,7,"tags=3%, list=0%, signal=3%","TLR10/CD40"
"GO:0030866","cortical actin cytoskeleton organization",42,-0.997606205819821,-2.21672177625948,4.88697954221968e-06,0.00649417454281974,0.00612185180710252,2,"tags=5%, list=0%, signal=5%","PLEK/LCP1"
"GO:0032528","microvillus organization",24,-0.998548427576127,-2.07730798584483,5.39495289123135e-06,0.00649417454281974,0.00612185180710252,10,"tags=12%, list=0%, signal=13%","GLDN/TNIK/STK26"
"GO:0031100","animal organ regeneration",58,-0.995573681927963,-2.29099880784959,1.87703918367401e-05,0.0163368726746502,0.0154002503083766,2,"tags=3%, list=0%, signal=3%","VTN/LCP1"
"GO:1902115","regulation of organelle assembly",213,-0.988134334645478,-2.14097404551224,2.03574737378819e-05,0.0163368726746502,0.0154002503083766,2,"tags=1%, list=0%, signal=1%","CSF2/LCP1"
"GO:1902117","positive regulation of organelle assembly",83,-0.994612790606149,-2.26029322044192,3.13608285633844e-05,0.0215717699332423,0.0203350214684682,2,"tags=2%, list=0%, signal=2%","CSF2/LCP1"
"GO:0035601","protein deacylation",65,-0.994497317718985,-2.27603452309582,4.62129143173265e-05,0.0278143978047409,0.0262197482284621,6,"tags=3%, list=0%, signal=3%","EP300/NDN"
"GO:0006476","protein deacetylation",56,-0.995317393186367,-2.27863090882335,5.37011978225626e-05,0.028730140835071,0.0270829900597532,6,"tags=4%, list=0%, signal=4%","EP300/NDN"
"GO:0098732","macromolecule deacylation",68,-0.994325842315321,-2.28732236421526,7.34231859025878e-05,0.0321731212559984,0.0303285782053594,6,"tags=3%, list=0%, signal=3%","EP300/NDN"
"GO:0009267","cellular response to starvation",168,-0.988307384757796,-2.17013491551008,7.3500380854825e-05,0.0321731212559984,0.0303285782053594,12,"tags=2%, list=0%, signal=2%","ASNS/SESN3/STK26"
"GO:0022617","extracellular matrix disassembly",51,-0.995125952866685,-2.28063696069759,0.000104378459520168,0.0418818568824676,0.0394806945132426,2,"tags=4%, list=0%, signal=4%","HPN/LCP1"
